Class,FPR,TPR,AUC
Macro,0.03278688524590164,0.38672695951765723,0.8909513380353495
Macro,0.040983606557377046,0.4681223083548665,0.8909513380353495
Macro,0.04411764705882353,0.5607149009474591,0.8909513380353495
Macro,0.04430379746835443,0.5673815676141257,0.8909513380353495
Macro,0.04918032786885246,0.5790094745908699,0.8909513380353495
Macro,0.05737704918032787,0.5867614125753661,0.8909513380353495
Macro,0.058823529411764705,0.614539190353144,0.8909513380353495
Macro,0.06329113924050633,0.6212058570198106,0.8909513380353495
Macro,0.06557377049180328,0.6289577950043066,0.8909513380353495
Macro,0.0661764705882353,0.6382170542635659,0.8909513380353495
Macro,0.07352941176470588,0.6567355727820844,0.8909513380353495
Macro,0.07377049180327869,0.6644875107665805,0.8909513380353495
Macro,0.08196721311475409,0.6683634797588286,0.8909513380353495
Macro,0.08823529411764706,0.6729931093884582,0.8909513380353495
Macro,0.09016393442622951,0.6884969853574505,0.8909513380353495
Macro,0.10655737704918032,0.6962489233419467,0.8909513380353495
Macro,0.11475409836065574,0.7040008613264428,0.8909513380353495
Macro,0.11764705882352941,0.7178897502153316,0.8909513380353495
Macro,0.125,0.7364082687338501,0.8909513380353495
Macro,0.13114754098360656,0.7402842377260982,0.8909513380353495
Macro,0.1323529411764706,0.7449138673557277,0.8909513380353495
Macro,0.13934426229508196,0.7681696813092161,0.8909513380353495
Macro,0.15441176470588236,0.7774289405684756,0.8909513380353495
Macro,0.1557377049180328,0.7890568475452197,0.8909513380353495
Macro,0.16455696202531644,0.7957235142118863,0.8909513380353495
Macro,0.1721311475409836,0.8034754521963824,0.8909513380353495
Macro,0.17647058823529413,0.808105081826012,0.8909513380353495
Macro,0.18032786885245902,0.8119810508182601,0.8909513380353495
Macro,0.19672131147540983,0.8197329888027562,0.8909513380353495
Macro,0.2088607594936709,0.8330663221360896,0.8909513380353495
Macro,0.22131147540983606,0.8369422911283376,0.8909513380353495
Macro,0.22950819672131148,0.8408182601205857,0.8909513380353495
Macro,0.24050632911392406,0.8474849267872524,0.8909513380353495
Macro,0.2459016393442623,0.8513608957795005,0.8909513380353495
Macro,0.25,0.8559905254091301,0.8909513380353495
Macro,0.25949367088607594,0.8626571920757967,0.8909513380353495
Macro,0.27049180327868855,0.8665331610680448,0.8909513380353495
Macro,0.27848101265822783,0.8731998277347115,0.8909513380353495
Macro,0.2786885245901639,0.8770757967269596,0.8909513380353495
Macro,0.29508196721311475,0.8809517657192076,0.8909513380353495
Macro,0.3114754098360656,0.8848277347114557,0.8909513380353495
Macro,0.3291139240506329,0.898161068044789,0.8909513380353495
Macro,0.33544303797468356,0.9048277347114556,0.8909513380353495
Macro,0.36075949367088606,0.9114944013781224,0.8909513380353495
Macro,0.3770491803278688,0.9153703703703705,0.8909513380353495
Macro,0.3860759493670886,0.922037037037037,0.8909513380353495
Macro,0.3987341772151899,0.9287037037037038,0.8909513380353495
Macro,0.4240506329113924,0.9353703703703703,0.8909513380353495
Macro,0.43037974683544306,0.942037037037037,0.8909513380353495
Macro,0.44936708860759494,0.9487037037037037,0.8909513380353495
Macro,0.46835443037974683,0.9553703703703703,0.8909513380353495
Macro,0.5506329113924051,0.962037037037037,0.8909513380353495
Macro,0.5661764705882353,0.9666666666666667,0.8909513380353495
Macro,0.6329113924050633,0.9733333333333333,0.8909513380353495
Macro,0.6582278481012658,0.98,0.8909513380353495
Macro,0.7088607594936709,0.9866666666666667,0.8909513380353495
Macro,0.7721518987341772,0.9933333333333333,0.8909513380353495
Macro,0.9177215189873418,1.0,0.8909513380353495
Macro,1.0,1.0,0.8909513380353495
